* Measurement data measured by REW V5.20.13
* Source: /projects/speakers/epique and morel/port and woofer nearfield diffraction.txt
* Format: Comma/Tab/Space delimited data
* Dated: Feb 21, 2023 8:24:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /projects/speakers/epique and morel/port and woofer nearfield diffraction.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: port and woofer nearfield
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
304.228485	92.447	-165.8736
306.433044	92.468	-166.7331
308.653595	92.451	-167.5957
310.890228	92.396	-168.3082
313.143066	92.320	-168.7883
315.412231	92.241	-169.0037
317.697845	92.173	-168.9756
320.000000	92.128	-168.7700
322.318848	92.113	-168.5020
324.654510	92.124	-168.2605
327.007080	92.147	-168.0893
329.376709	92.173	-167.9809
331.763519	92.197	-167.8573
334.167603	92.228	-167.6770
336.589142	92.278	-167.5066
339.028198	92.343	-167.4270
341.484924	92.407	-167.4756
343.959473	92.459	-167.6224
346.451935	92.496	-167.7531
348.962463	92.530	-167.7867
351.491211	92.577	-167.7715
354.038239	92.641	-167.8085
356.603760	92.707	-167.9765
359.187866	92.762	-168.2847
361.790680	92.796	-168.6431
364.412354	92.812	-168.9580
367.053040	92.815	-169.1910
369.712860	92.814	-169.3630
372.391968	92.809	-169.4660
375.090454	92.803	-169.4794
377.808533	92.805	-169.4245
380.546265	92.820	-169.3408
383.303864	92.843	-169.2909
386.081451	92.867	-169.3306
388.879150	92.879	-169.4241
391.697144	92.874	-169.4862
394.535522	92.858	-169.4528
397.394501	92.843	-169.2730
400.274170	92.844	-168.9653
403.174744	92.872	-168.6488
406.096313	92.922	-168.4461
409.039062	92.974	-168.4234
412.003113	93.009	-168.5637
414.988647	93.017	-168.7479
417.995850	93.002	-168.8505
421.024811	92.974	-168.8066
424.075714	92.950	-168.6406
427.148743	92.935	-168.3900
430.244049	92.932	-168.0982
433.361786	92.940	-167.8230
436.502106	92.957	-167.5847
439.665161	92.977	-167.4018
442.851166	92.996	-167.3204
446.060242	93.000	-167.3240
449.292572	92.973	-167.2970
452.548340	92.921	-167.0685
455.827698	92.872	-166.5099
459.130798	92.865	-165.7128
462.457855	92.915	-164.9823
465.809021	92.995	-164.5675
469.184448	93.060	-164.4888
472.584381	93.085	-164.5678
476.008911	93.074	-164.5537
479.458252	93.054	-164.3230
482.932617	93.051	-163.9421
486.432159	93.074	-163.5930
489.957031	93.111	-163.3911
493.507477	93.141	-163.3557
497.083618	93.153	-163.4559
500.685699	93.137	-163.5891
504.313873	93.091	-163.6265
507.968323	93.032	-163.4823
511.649292	92.978	-163.1298
515.356934	92.948	-162.6518
519.091370	92.948	-162.2013
522.852966	92.969	-161.8646
526.641724	93.000	-161.6782
530.458008	93.031	-161.6847
534.301941	93.048	-161.8654
538.173706	93.038	-162.1285
542.073547	93.004	-162.3753
546.001648	92.961	-162.5523
549.958191	92.920	-162.7076
553.943420	92.876	-162.9233
557.957520	92.818	-163.2268
562.000671	92.735	-163.5274
566.073181	92.631	-163.7094
570.175171	92.524	-163.7440
574.306885	92.434	-163.6944
