* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 21, 2023 4:29:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Port and Woofer Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
439.665161	107.649	-179.5592
442.851166	107.678	-179.3790
446.060242	107.698	-179.4380
449.292572	107.666	-179.6450
452.548340	107.563	-179.5729
455.827698	107.442	-178.8170
459.130798	107.403	-177.5112
462.457855	107.487	-176.3129
465.809021	107.629	-175.8047
469.184448	107.727	-175.9884
472.584381	107.731	-176.3680
476.008911	107.667	-176.4238
479.458252	107.598	-175.9845
482.932617	107.582	-175.2847
486.432159	107.619	-174.7049
489.957031	107.673	-174.4236
493.507477	107.715	-174.3975
497.083618	107.730	-174.5449
500.685699	107.708	-174.7689
504.313873	107.641	-174.8997
507.968323	107.543	-174.7274
511.649292	107.455	-174.1695
515.356934	107.418	-173.4286
519.091370	107.426	-172.8069
522.852966	107.451	-172.3809
526.641724	107.486	-172.0949
530.458008	107.531	-172.0234
534.301941	107.561	-172.2566
538.173706	107.543	-172.6520
542.073547	107.477	-172.9077
546.001648	107.406	-172.8950
549.958191	107.365	-172.8219
553.943420	107.339	-172.9635
557.957520	107.290	-173.3373
562.000671	107.194	-173.7427
566.073181	107.059	-173.9474
570.175171	106.916	-173.8168
574.306885	106.812	-173.4537
578.468567	106.767	-173.2169
582.660400	106.741	-173.4529
586.882568	106.660	-174.1240
591.135376	106.479	-174.7744
595.419006	106.221	-174.9030
599.733643	105.953	-174.3341
604.079590	105.743	-173.2917
608.456970	105.614	-172.1773
612.866089	105.536	-171.2477
617.307190	105.470	-170.4844
621.780457	105.403	-169.7280
626.286133	105.344	-168.8541
630.824463	105.314	-167.7908
635.395691	105.347	-166.5158
640.000000	105.492	-165.1912
644.637695	105.765	-164.2926
649.309021	106.101	-164.4227
654.014160	106.376	-165.7565
658.753418	106.512	-167.7809
663.527039	106.524	-169.7772
668.335205	106.474	-171.3914
673.178284	106.414	-172.6411
678.056396	106.375	-173.6482
682.969849	106.380	-174.6064
687.918945	106.429	-175.8590
692.903870	106.462	-177.6614
697.924927	106.399	-179.7788
702.982422	106.212	178.5164
708.076477	105.986	177.8058
713.207520	105.858	177.8868
718.375732	105.886	177.9097
723.581360	105.991	177.1807
728.824707	106.051	175.7849
734.106079	106.028	174.3910
739.425720	105.985	173.4780
744.783936	106.008	172.8273
750.180908	106.091	171.8708
755.617065	106.145	170.4521
761.092529	106.108	169.1061
766.607727	106.033	168.4795
772.162903	106.044	168.5094
777.758301	106.190	168.4748
783.394287	106.402	167.7954
789.071045	106.596	166.4569
794.789001	106.726	164.7661
800.548340	106.789	163.1055
806.349487	106.821	161.7407
812.192627	106.865	160.5990
818.078125	106.923	159.4492
824.006226	106.976	158.2067
829.977295	107.006	156.8879
835.991699	107.002	155.5750
842.049622	106.962	154.4373
848.151428	106.912	153.5640
854.297485	106.871	152.8538
860.488098	106.831	152.1860
866.723572	106.783	151.5952
873.004211	106.734	151.1201
879.330322	106.694	150.6579
885.702332	106.639	150.1422
892.120483	106.547	149.7855
898.585144	106.459	149.8533
905.096680	106.457	150.0796
911.655396	106.540	149.6646
918.261597	106.579	148.1166
924.915710	106.420	146.0212
931.618042	106.025	144.7174
938.368896	105.518	145.0340
945.168762	105.094	146.4203
952.017822	104.797	147.7437
958.916504	104.491	148.8917
965.865234	104.109	150.8328
972.864319	103.790	153.8457
979.914062	103.653	156.7949
987.014954	103.581	158.7877
994.167236	103.424	160.3716
1001.371399	103.203	162.3916
1008.627747	103.008	164.8207
1015.936646	102.848	167.3902
1023.298584	102.710	170.3023
1030.713867	102.656	173.7053
1038.182739	102.746	177.1025
1045.705933	102.923	179.8558
1053.283447	103.093	-177.9265
1060.916016	103.277	-175.7645
1068.603882	103.535	-173.8710
1076.347412	103.820	-172.8401
1084.147095	104.041	-172.6679
1092.003296	104.170	-172.8989
1099.916382	104.222	-173.1595
1107.886841	104.229	-173.2717
1115.915039	104.213	-173.2864
1124.001343	104.167	-173.2352
1132.146362	104.089	-172.9374
1140.350342	104.013	-172.2796
1148.613770	103.979	-171.4317
1156.937134	103.986	-170.6543
1165.320801	104.016	-170.0076
1173.765137	104.064	-169.4896
1182.270752	104.115	-169.0941
1190.838013	104.163	-168.6791
1199.467285	104.233	-168.2361
1208.159180	104.330	-167.9772
1216.913940	104.430	-167.9691
1225.732178	104.517	-168.1149
1234.614380	104.583	-168.2978
1243.560913	104.628	-168.3163
1252.572266	104.687	-168.0164
1261.648926	104.798	-167.5789
1270.791382	104.940	-167.2984
1280.000000	105.080	-167.1041
1289.275391	105.240	-166.8391
1298.618042	105.441	-166.7216
1308.028320	105.641	-166.9831
1317.506836	105.791	-167.4635
1327.054077	105.898	-167.8597
1336.670410	105.987	-168.1321
1346.356567	106.052	-168.3583
1356.112793	106.083	-168.3429
1365.939697	106.124	-167.9111
1375.837891	106.219	-167.3126
1385.807739	106.354	-166.9168
1395.849854	106.481	-166.8270
1405.964844	106.573	-166.8846
1416.152954	106.638	-166.9629
1426.415039	106.675	-167.1157
1436.751465	106.658	-167.2700
1447.162720	106.583	-167.1523
1457.649414	106.485	-166.6296
1468.212158	106.399	-165.7319
1478.851440	106.360	-164.5923
1489.567871	106.380	-163.4845
1500.361816	106.436	-162.6012
1511.234131	106.509	-161.9891
1522.185059	106.577	-161.6913
1533.215454	106.619	-161.6269
1544.325806	106.644	-161.6669
1555.516602	106.666	-161.8435
1566.788574	106.684	-162.2269
1578.142090	106.698	-162.8511
1589.578003	106.702	-163.7832
1601.096680	106.671	-165.0579
1612.698975	106.577	-166.4576
1624.385254	106.436	-167.6661
1636.156250	106.301	-168.6097
1648.012451	106.211	-169.4747
1659.954590	106.169	-170.4951
1671.983398	106.156	-171.8026
1684.099243	106.147	-173.4325
1696.302856	106.110	-175.3069
1708.594971	106.028	-177.1950
1720.976196	105.910	-178.8859
1733.447144	105.770	179.7628
1746.008423	105.632	178.9067
1758.660645	105.539	178.5405
1771.404663	105.519	178.4524
1784.240967	105.570	178.4094
1797.170288	105.664	178.2836
1810.193359	105.779	178.0795
1823.310791	105.903	177.8097
1836.523193	106.022	177.4841
1849.831421	106.126	177.1893
1863.236084	106.226	176.9791
1876.737793	106.326	176.8060
1890.337524	106.419	176.5995
1904.035645	106.491	176.3696
1917.833008	106.534	176.1633
1931.730469	106.552	176.0199
1945.728638	106.556	175.9265
1959.828125	106.550	175.7726
1974.029907	106.517	175.5325
1988.334473	106.449	175.3057
2002.742798	106.351	175.2384
2017.255493	106.253	175.3844
2031.873291	106.183	175.5532
2046.597168	106.133	175.5317
2061.427734	106.087	175.2661
2076.365479	106.031	174.7471
2091.411865	105.947	174.0580
2106.566895	105.841	173.3270
2121.832031	105.725	172.5570
2137.207764	105.594	171.7389
2152.694824	105.447	170.9460
2168.294189	105.293	170.2438
2184.006592	105.144	169.6441
2199.832764	105.006	169.0986
2215.773682	104.873	168.5822
2231.830078	104.735	168.1568
2248.002686	104.590	167.8978
2264.292725	104.445	167.8687
2280.700684	104.316	168.0416
2297.227539	104.208	168.2784
2313.874268	104.102	168.5242
2330.641602	103.989	168.8430
2347.530273	103.877	169.2222
2364.541504	103.761	169.5457
2381.676025	103.620	169.7983
2398.934570	103.443	170.1010
2416.318359	103.243	170.5209
2433.827881	103.037	170.9827
2451.464355	102.826	171.3684
2469.228760	102.601	171.6267
2487.121826	102.356	171.7675
2505.144531	102.088	171.8087
2523.297852	101.798	171.7827
2541.582764	101.489	171.7601
2560.000000	101.178	171.7834
2578.550781	100.879	171.8361
2597.236084	100.600	171.9076
2616.056641	100.352	171.9979
2635.013672	100.140	172.0659
2654.108154	99.958	172.1000
2673.340820	99.799	172.1868
2692.713135	99.668	172.3606
2712.225586	99.565	172.5886
2731.879395	99.475	172.8885
2751.675781	99.389	173.3337
2771.615479	99.298	173.9995
2791.699707	99.204	174.9595
2811.929688	99.112	176.2489
2832.305908	99.036	177.8189
2852.830078	98.979	179.5781
2873.502930	98.945	-178.5753
2894.325439	98.932	-176.7666
2915.298828	98.927	-175.1140
2936.424316	98.913	-173.6573
2957.702881	98.882	-172.3691
2979.135742	98.834	-171.2365
3000.723633	98.770	-170.2802
3022.468262	98.682	-169.4843
3044.370117	98.568	-168.7628
3066.430908	98.433	-168.0137
3088.651611	98.291	-167.1655
3111.033203	98.157	-166.1837
3133.577148	98.045	-165.0742
3156.284180	97.962	-163.8726
3179.156006	97.908	-162.6298
3202.193359	97.876	-161.3926
3225.397949	97.853	-160.1791
3248.770508	97.828	-158.9512
3272.312500	97.797	-157.6477
3296.024902	97.766	-156.2451
3319.909180	97.742	-154.7740
3343.966797	97.727	-153.3263
3368.198486	97.715	-152.0030
3392.605713	97.693	-150.8121
3417.189941	97.661	-149.6528
3441.952393	97.641	-148.4815
3466.894287	97.655	-147.3796
3492.016846	97.708	-146.4287
3517.321289	97.800	-145.6679
3542.809326	97.925	-145.1039
3568.481934	98.072	-144.6929
3594.340576	98.231	-144.3457
3620.386719	98.400	-143.9471
3646.621582	98.584	-143.4116
3673.046387	98.787	-142.7294
3699.662842	99.006	-141.9410
3726.472168	99.232	-141.0845
3753.475586	99.458	-140.1816
3780.675049	99.684	-139.2709
3808.071289	99.909	-138.4271
3835.666016	100.132	-137.7249
3863.460938	100.348	-137.2112
3891.457275	100.559	-136.9177
3919.656250	100.769	-136.8748
3948.059814	100.978	-137.0972
3976.668945	101.187	-137.5642
4005.485596	101.396	-138.2140
4034.510986	101.614	-138.9678
4063.746582	101.846	-139.7720
4093.194336	102.097	-140.6125
4122.855469	102.363	-141.4850
4152.730957	102.639	-142.3653
4182.823730	102.924	-143.2329
4213.133789	103.219	-144.1127
4243.664062	103.523	-145.0743
4274.415527	103.830	-146.1965
4305.389648	104.132	-147.5444
4336.588379	104.420	-149.1567
4368.013184	104.684	-151.0367
4399.665527	104.920	-153.1534
4431.547363	105.124	-155.4497
4463.660156	105.295	-157.8594
4496.005371	105.432	-160.3147
4528.585449	105.542	-162.7510
4561.401367	105.632	-165.1434
4594.455078	105.711	-167.5247
4627.748535	105.780	-169.9442
4661.283203	105.839	-172.4246
4695.060547	105.892	-174.9565
4729.083008	105.950	-177.5198
4763.352051	106.033	179.8857
4797.869141	106.161	177.2147
4832.636719	106.343	174.3669
4867.655762	106.572	171.2116
4902.928711	106.817	167.6462
4938.457520	107.037	163.6678
4974.243652	107.192	159.4389
5010.289062	107.270	155.2457
5046.595703	107.289	151.3098
5083.165527	107.286	147.6442
5120.000000	107.286	144.1006
5157.101562	107.305	140.5033
5194.472168	107.347	136.7142
5232.113281	107.409	132.6352
5270.027344	107.479	128.2230
5308.216309	107.531	123.5208
5346.681641	107.543	118.6494
5385.426270	107.498	113.7412
5424.451172	107.386	108.8629
5463.758789	107.198	104.0088
5503.351562	106.918	99.1785
5543.230957	106.538	94.4340
5583.399414	106.058	89.8859
5623.859375	105.488	85.6700
5664.611816	104.851	81.9207
5705.660156	104.179	78.7221
5747.005859	103.499	76.1082
5788.650879	102.812	74.2239
5830.597656	102.073	73.7109
5872.848633	101.238	75.9771
5915.405762	100.375	82.3892
5958.271484	99.658	92.7289
6001.447266	99.164	104.7401
6044.936523	98.812	115.0989
6088.740234	98.529	121.4216
6132.861816	98.293	123.8038
6177.303223	98.087	123.8730
6222.066406	97.904	123.0478
6267.154297	97.744	122.0215
6312.568359	97.598	120.9807
6358.312012	97.429	119.9084
6404.386719	97.191	118.7496
6450.795898	96.841	117.4510
6497.541016	96.352	115.9797
6544.625000	95.710	114.3566
6592.049805	94.907	112.8013
6639.818359	93.937	111.9087
6687.933594	92.808	112.7109
6736.396973	91.557	116.6325
6785.211426	90.316	125.1176
6834.379883	89.451	138.6555
6883.904785	89.506	155.7055
6933.788574	90.619	172.8665
6984.033691	92.307	-173.3090
7034.642578	94.078	-164.6498
7085.618652	95.685	-161.2637
7136.963867	97.037	-162.3016
7188.681152	98.096	-166.5388
7240.773438	98.852	-172.5977
7293.243164	99.322	-179.1475
7346.092773	99.542	174.8219
7399.325684	99.563	169.8361
7452.944336	99.446	165.9573
7506.951172	99.249	162.9459
7561.350098	99.022	160.5072
7616.142578	98.799	158.4915
7671.332031	98.605	156.9297
7726.921875	98.448	155.9227
7782.914551	98.320	155.4938
7839.312500	98.202	155.5231
7896.119629	98.078	155.7698
7953.337891	97.944	155.9219
8010.971191	97.809	155.6784
8069.021973	97.674	154.9068
8127.493164	97.533	153.7599
8186.388672	97.376	152.5827
8245.710938	97.196	151.6289
8305.461914	96.984	150.8115
8365.647461	96.703	149.7548
8426.267578	96.273	148.2876
8487.328125	95.622	146.9522
8548.831055	94.782	146.5992
8610.779297	93.883	147.6395
8673.176758	93.022	150.3099
8736.026367	92.209	155.1474
8799.331055	91.456	162.7355
8863.094727	90.906	173.0009
8927.320312	90.824	-175.3845
8992.010742	91.340	-164.8664
9057.170898	92.231	-157.7296
9122.802734	93.157	-154.6165
9188.910156	93.922	-154.4257
9255.497070	94.470	-155.4247
9322.566406	94.835	-156.2528
9390.121094	95.098	-156.3984
9458.166016	95.337	-156.1771
9526.704102	95.578	-156.1815
9595.738281	95.800	-156.7135
9665.273438	95.972	-157.7041
9735.311523	96.066	-158.9973
9805.857422	96.062	-160.6048
9876.915039	95.936	-162.7055
9948.487305	95.656	-165.4020
10020.578125	95.180	-168.4251
10093.191406	94.463	-170.9928
10166.331055	93.467	-171.9315
10240.000000	92.173	-169.9518
10314.203125	90.606	-163.9112
10388.944336	88.907	-153.0699
10464.226562	87.495	-137.4402
10540.054688	87.189	-118.3290
