* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 21, 2023 4:29:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Port and Woofer Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
515.356934	106.9067	-162.5721
519.09137	106.9244	-162.0441
522.852966	106.959	-161.7115
526.641724	106.994	-161.4255
530.458008	107.0483	-161.4467
534.301941	107.0874	-161.7724
538.173706	107.0694	-162.1678
542.073547	107.0125	-162.5154
546.001648	106.9504	-162.5941
549.958191	106.9181	-162.612
553.94342	106.8921	-162.7536
557.95752	106.8516	-163.218
562.000671	106.764	-163.7134
566.073181	106.629	-163.9181
570.175171	106.4943	-163.8968
574.306885	106.3984	-163.6029
578.468567	106.3534	-163.3661
582.6604	106.3354	-163.6906
586.882568	106.2623	-164.4497
591.135376	106.0813	-165.1001
595.419006	105.831	-165.3161
599.733643	105.5705	-164.8342
604.07959	105.3605	-163.7918
608.45697	105.2389	-162.7639
612.866089	105.1682	-161.9201
617.30719	105.1022	-161.1568
621.780457	105.0423	-160.4858
626.286133	104.9904	-159.6967
630.824463	104.9673	-158.7208
635.395691	105.0003	-157.4458
640	105.1521	-156.2018
644.637695	105.4317	-155.3863
649.309021	105.7677	-155.5164
654.01416	106.0493	-156.9328
658.753418	106.1917	-159.0392
663.527039	106.2037	-161.0355
668.335205	106.16	-162.7313
673.178284	106.1062	-164.0619
678.056396	106.0672	-165.069
682.969849	106.0782	-166.1075
687.918945	106.1331	-167.44
692.90387	106.1661	-169.2424
697.924927	106.109	-171.4389
702.982422	105.9277	-173.2225
708.076477	105.7017	-173.9331
713.20752	105.5793	-173.9301
718.375732	105.6128	-173.9848
723.58136	105.7232	-174.7907
728.824707	105.7832	-176.1865
734.106079	105.7656	-177.6568
739.42572	105.7278	-178.6456
