* Measurement data measured by REW V5.20.13
* Source: U18dB [plughw:2,0], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Feb 21, 2023 1:23:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Woofer Far Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
2712.225586	92.428	-139.8323
2731.879395	92.401	-138.0509
2751.675781	92.424	-136.2936
2771.615479	92.490	-134.6430
2791.699707	92.592	-133.1636
2811.929688	92.718	-131.8957
2832.305908	92.855	-130.8536
2852.830078	92.994	-130.0269
2873.502930	93.125	-129.3842
2894.325439	93.242	-128.8789
2915.298828	93.343	-128.4552
2936.424316	93.427	-128.0556
2957.702881	93.498	-127.6289
2979.135742	93.562	-127.1382
3000.723633	93.628	-126.5681
3022.468262	93.703	-125.9291
3044.370117	93.794	-125.2571
3066.430908	93.906	-124.6074
3088.651611	94.035	-124.0438
3111.033203	94.178	-123.6240
3133.577148	94.325	-123.3868
3156.284180	94.464	-123.3417
3179.156006	94.584	-123.4663
3202.193359	94.678	-123.7085
3225.397949	94.740	-123.9943
3248.770508	94.770	-124.2397
3272.312500	94.773	-124.3637
3296.024902	94.757	-124.3019
3319.909180	94.735	-124.0192
3343.966797	94.721	-123.5175
3368.198486	94.728	-122.8377
3392.605713	94.765	-122.0534
3417.189941	94.835	-121.2561
3441.952393	94.935	-120.5357
3466.894287	95.054	-119.9615
3492.016846	95.179	-119.5662
3517.321289	95.297	-119.3399
3542.809326	95.396	-119.2308
3568.481934	95.471	-119.1559
3594.340576	95.522	-119.0172
3620.386719	95.557	-118.7246
3646.621582	95.591	-118.2204
3673.046387	95.643	-117.5014
3699.662842	95.729	-116.6294
3726.472168	95.862	-115.7232
3753.475586	96.041	-114.9294
3780.675049	96.252	-114.3806
3808.071289	96.473	-114.1539
3835.666016	96.682	-114.2474
3863.460938	96.858	-114.5800
3891.457275	96.994	-115.0152
3919.656250	97.092	-115.4003
3948.059814	97.165	-115.6123
3976.668945	97.234	-115.5957
4005.485596	97.320	-115.3818
