* Measurement data measured by REW V5.30.8
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 10, 2024 1:40:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Woofer Port Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
361.79068	105.7078	-165.0638
364.412354	105.5838	-165.507
367.05304	105.4604	-165.6901
369.71286	105.3519	-165.5275
372.391968	105.2549	-165.1361
375.090454	105.203	-164.9034
377.808533	105.149	-164.7963
380.546265	105.0657	-164.651
383.303864	104.9297	-164.0932
386.081451	104.8062	-163.085
388.87915	104.7133	-161.4471
391.697144	104.6863	-159.0569
394.535522	104.8364	-156.319
397.394501	105.1761	-154.0992
400.27417	105.5921	-153.6131
403.174744	105.9526	-155.2356
406.096313	106.1449	-157.811
409.039062	106.1759	-160.1883
412.003113	106.149	-162.1752
414.988647	106.0767	-163.7708
417.99585	105.9347	-164.9437
421.024811	105.7673	-165.7799
424.075714	105.6036	-166.0904
427.148743	105.4756	-165.9802
430.244049	105.4267	-165.9849
433.361786	105.4006	-166.21
436.502106	105.3612	-166.6452
439.665161	105.2822	-166.9513
442.851166	105.2155	-167.0714
446.060242	105.1777	-166.8976
449.292572	105.1707	-166.6633
452.54834	105.2076	-166.8249
455.827698	105.2363	-167.2299
459.130798	105.2233	-167.6807
462.457855	105.1868	-168.3149
465.809021	105.107	-168.7004
469.184448	105.015	-168.4593
472.584381	104.9911	-168.073
476.008911	105.0138	-167.8911
479.458252	105.0268	-167.9087
482.932617	105.0423	-168.0308
486.432159	105.0696	-167.9298
489.957031	105.1196	-167.7591
493.507477	105.2038	-168.0296
497.083618	105.2717	-168.5791
500.685699	105.3114	-169.2057
504.313873	105.3104	-169.736
507.968323	105.3048	-170.2418
511.649292	105.3021	-170.5396
515.356934	105.3031	-170.7228
519.09137	105.3241	-171.1336
522.852966	105.343	-171.5253
526.641724	105.357	-171.8364
530.458008	105.3795	-172.4469
534.301941	105.373	-173.1789
538.173706	105.318	-173.7038
542.073547	105.2571	-174.0448
546.001648	105.2091	-174.0825
549.958191	105.1811	-173.8899
553.94342	105.1959	-173.8611
557.95752	105.2285	-173.9303
562.000671	105.2575	-174.0169
566.073181	105.2919	-174.3998
570.175171	105.2981	-174.8478
574.306885	105.2822	-175.0953
578.468567	105.2672	-174.8941
582.6604	105.3149	-174.6746
586.882568	105.3935	-174.8613
591.135376	105.4285	-175.3085
595.419006	105.436	-175.65
599.733643	105.4583	-175.6082
604.07959	105.5203	-175.4169
608.45697	105.6283	-175.6923
612.866089	105.7101	-176.4927
617.30719	105.7051	-177.2963
621.780457	105.6669	-177.6531
626.286133	105.6624	-177.5134
630.824463	105.6994	-177.3897
635.395691	105.7537	-177.6227
640	105.8059	-177.7917
644.637695	105.8629	-177.84
649.309021	105.9389	-178.1199
654.01416	106.0147	-178.4377
658.753418	106.0984	-178.7887
663.527039	106.1734	-179.205
668.335205	106.248	-179.8191
673.178284	106.3003	179.4786
678.056396	106.3143	178.9161
682.969849	106.3254	178.4773
687.918945	106.3445	178.2079
692.90387	106.3775	178.169
697.924927	106.4494	178.0134
702.982422	106.5381	177.726
708.076477	106.6331	177.5417
713.20752	106.7726	177.2375
718.375732	106.938	176.5201
723.58136	107.067	175.3539
728.824707	107.1403	173.8507
734.106079	107.1514	172.4593
739.42572	107.0994	171.3227
744.783936	107.0224	170.7145
750.180908	107.0133	171.0009
755.617065	107.151	171.3402
761.092529	107.387	170.9516
766.607727	107.6505	169.5276
772.162903	107.8929	167.4806
777.758301	108.1259	165.0685
783.394287	108.3562	161.6632
789.071045	108.4793	156.9275
794.789001	108.3783	151.3773
800.54834	108.0254	145.5207
806.349487	107.4133	140.0261
812.192627	106.5583	135.4667
818.078125	105.5211	131.9494
824.006226	104.3447	129.4695
829.977295	103.0457	127.9129
835.991699	101.6443	127.2633
842.049622	100.2087	129.7622
848.151428	99.1757	147.0482
854.297485	99.461	-165.9243
860.488098	100.9722	-144.9139
866.723572	102.6502	-144.7188
873.004211	103.9472	-149.6302
879.330322	104.8131	-155.6279
885.702332	105.31	-161.2552
892.120483	105.543	-165.7345
898.585144	105.6497	-169.2142
905.09668	105.6703	-172.0765
911.655396	105.6013	-174.205
918.261597	105.5018	-175.5702
924.91571	105.4202	-176.4614
931.618042	105.3332	-177.2747
938.368896	105.1886	-178.0357
945.168762	104.9838	-177.7388
952.017822	104.8638	-175.9468
958.916504	104.9319	-174.238
965.865234	105.0869	-173.5511
972.864319	105.2329	-173.3085
979.914062	105.3899	-173.4144
987.014954	105.5327	-174.1097
994.167236	105.6094	-175.285
1001.371399	105.5974	-176.4841
1008.627747	105.51	-177.6777
1015.936646	105.3396	-178.5918
1023.298584	105.0926	-178.8239
1030.713867	104.8371	-178.1453
1038.182739	104.6454	-176.994
1045.705933	104.4984	-175.9531
1053.283447	104.3448	-175.0977
1060.916016	104.1619	-173.8553
1068.603882	103.9879	-171.6814
1076.347412	103.9152	-168.612
1084.147095	104.0231	-164.8706
1092.003296	104.3711	-160.98
1099.916382	104.9541	-158.201
1107.886841	105.632	-157.4888
1115.915039	106.2199	-158.8579
1124.001343	106.6089	-161.2416
1132.146362	106.8387	-163.7473
1140.350342	106.9653	-166.1388
1148.61377	106.9893	-168.3403
1156.937134	106.9519	-170.0264
1165.320801	106.9304	-171.1477
1173.765137	106.9594	-172.1802
1182.270752	107.0229	-173.5313
1190.838013	107.0834	-175.3649
1199.467285	107.0564	-177.7345
1208.15918	106.8956	179.9252
1216.91394	106.6589	178.2828
1225.732178	106.4279	177.3011
1234.61438	106.2431	176.5206
1243.560913	106.1082	175.7647
1252.572266	105.9982	174.8247
1261.648926	105.8813	173.574
1270.791382	105.7394	172.3018
1280	105.5933	171.1045
1289.275391	105.4593	169.9446
1298.618042	105.3533	168.5422
1308.02832	105.2651	166.7411
1317.506836	105.1451	164.3986
1327.054077	104.9578	161.4898
1336.67041	104.6605	157.9642
1346.356567	104.1785	154.0973
1356.112793	103.4573	150.451
1365.939697	102.4839	148.0589
1375.837891	101.3089	148.3582
1385.807739	100.1354	153.7184
1395.849854	99.426	164.5384
1405.964844	99.448	174.1286
1416.152954	99.8794	178.6454
1426.415039	100.4139	-179.7756
1436.751465	100.9329	179.9511
1447.16272	101.3522	178.1374
1457.649414	101.6326	175.3759
1468.212158	101.7468	171.9454
1478.85144	101.6658	168.3718
1489.567871	101.4361	165.0244
1500.361816	101.0922	161.8536
1511.234131	100.6252	159.1022
1522.185059	100.0414	156.877
1533.215454	99.3265	155.5961
1544.325806	98.5285	155.8018
1555.516602	97.7306	157.0343
1566.788574	96.9426	159.4148
1578.14209	96.2166	163.4002
1589.578003	95.6585	168.7029
1601.09668	95.3105	174.8673
1612.698975	95.2115	-178.0989
1624.385254	95.4114	-171.4567
1636.15625	95.8423	-166.421
1648.012451	96.3873	-163.2306
1659.95459	96.9141	-161.8824
1671.983398	97.3199	-161.7169
1684.099243	97.5816	-162.0712
1696.302856	97.6796	-162.5041
1708.594971	97.6193	-162.3773
1720.976196	97.484	-160.8792
1733.447144	97.411	-157.6357
1746.008423	97.5807	-152.7078
1758.660645	98.1062	-147.8314
1771.404663	98.8212	-145.4036
1784.240967	99.4539	-145.5866
1797.170288	99.8674	-146.924
1810.193359	100.0764	-147.9748
1823.310791	100.2179	-148.0507
1836.523193	100.4064	-147.6552
1849.831421	100.6394	-147.3873
1863.236084	100.8738	-147.5872
1876.737793	101.0443	-148.1965
1890.337524	101.1293	-148.6419
1904.035645	101.1776	-148.7847
1917.833008	101.2111	-148.6772
1931.730469	101.2454	-148.3549
1945.728638	101.2824	-147.9014
1959.828125	101.3287	-147.382
1974.029907	101.387	-146.8537
1988.334473	101.44	-146.3743
2002.742798	101.4773	-145.9632
2017.255493	101.4924	-145.4801
2031.873291	101.5004	-144.7487
2046.597168	101.5207	-143.9422
2061.427734	101.5589	-143.0842
2076.365479	101.6149	-142.2459
2091.411865	101.675	-141.6128
2106.566895	101.7222	-141.0825
2121.832031	101.7522	-140.5859
2137.207764	101.7672	-140.0671
2152.694824	101.7823	-139.4429
2168.294189	101.8023	-138.7789
2184.006592	101.8245	-138.2331
2199.832764	101.8375	-137.7334
2215.773682	101.8454	-137.2078
